target,n,n_active,auroc,bedroc,ef@0.5%,ef@1.0%,ef@5.0%
ADRB2,312500,17,0.7152742991571683,0.11675447931722271,11.768471793326805,11.764705882352942,4.705882352941176
ALDH1,145133,7168,0.4889036924964147,0.02811310272976325,0.4183336638503542,0.5023463651914936,0.6249698566900923
ESR1_ago,5596,13,0.6179542291847504,0.07993425760351858,15.373626373626374,7.686813186813187,1.5373626373626375
ESR1_ant,5050,102,0.49017329243742763,0.051350310220645505,3.9607843137254903,2.9705882352941173,1.5717398070339246
FEN1,355771,369,0.7126952037777168,0.13530069042375822,22.22041096745987,13.549031077719432,4.932124553692555
GBA,296218,166,0.44001918663263156,0.017400831884695885,1.2048924936749024,1.2048924936749024,1.0843300282352828
IDH1,362088,39,0.5511376098617052,0.03625280738888034,5.129451763705908,5.128035179402205,2.0513273734661275
KAT2A,348742,194,0.5641584708591957,0.036997302210796626,3.092269223493805,4.124208030416362,2.16496086943926
MAPK1,62937,308,0.6874580217081294,0.09445206045870265,10.37922077922078,7.7967914438502675,4.090714100008667
MTORC1,33069,97,0.4825450147641673,0.00747347214058373,0.0,0.0,0.6187250921473608
OPRK1,269840,24,0.8677902255611232,0.22605637116205385,25.003706449221646,25.003706449221646,9.166666666666668
PKM2,246069,546,0.5403952628357267,0.015196339807496514,0.3664031090860359,1.0987626757638949,1.3187295513557402
PPARG,5238,27,0.7716902279366298,0.15686835255452772,29.846153846153847,14.923076923076923,3.702290076335878
TP53,4247,79,0.5761832163074905,0.09352536357537568,5.119951778179626,5.119951778179626,2.5358251731550037
VDR,356272,884,0.5329532591795535,0.033683642378892535,3.3943511322379765,3.054058619064975,1.8777858890790557
